age,income,credit_score,employment_type,default
52,48234.92,841,Unemployed,0
54,57237.66,745,Salaried,0
64,47834.8,731,Salaried,0
31,45641.95,616,Salaried,1
20,46948.92,848,Self-Employed,0
18,80736.34,613,Salaried,0
22,66578.23,805,Self-Employed,0
43,47785.81,612,Self-Employed,1
31,18173.12,734,Salaried,1
56,31833.03,727,Salaried,1
44,62551.44,643,Self-Employed,0
26,23176.66,718,Salaried,1
32,59394.9,742,Self-Employed,0
32,39016.54,618,Self-Employed,1
43,56377.09,662,Salaried,0
59,55957.84,834,Self-Employed,0
30,56808.85,838,Self-Employed,0
68,49083.67,835,Self-Employed,0
49,48590.72,762,Salaried,0
56,44188.14,680,Salaried,1
66,62258.38,762,Salaried,0
69,67077.89,746,Salaried,0
49,36715.41,747,Salaried,0
21,54225.57,699,Self-Employed,0
47,57948.73,762,Salaried,0
54,57756.57,759,Salaried,0
40,57501.54,721,Salaried,0
56,48969.48,775,Self-Employed,0
62,59185.46,643,Salaried,0
32,64270.43,703,Salaried,0
60,57115.55,751,Salaried,0
46,62589.1,660,Self-Employed,0
53,69855.3,724,Salaried,0
30,27235.89,744,Salaried,1
49,69151.96,670,Unemployed,0
24,60136.42,706,Self-Employed,0
68,38325.62,649,Unemployed,1
39,67037.06,664,Salaried,0
45,49025.19,698,Salaried,0
19,51070.5,631,Self-Employed,1
59,47384.8,763,Salaried,0
62,59535.98,740,Self-Employed,0
23,43219.7,797,Salaried,0
45,68522.12,657,Salaried,0
45,52917.06,727,Salaried,0
61,49536.96,741,Salaried,0
61,66293.14,764,Salaried,0
37,50206.65,711,Salaried,0
47,69222.65,806,Unemployed,0
28,69693.89,838,Salaried,0
45,34977.94,667,Salaried,1
42,71638.9,639,Self-Employed,0
56,33069.46,786,Salaried,0
50,72573.71,807,Salaried,0
18,85425.36,819,Self-Employed,0
44,68122.52,743,Salaried,0
69,22645.29,789,Self-Employed,1
30,70953.49,731,Self-Employed,0
58,88691.93,772,Unemployed,0
20,50454.53,689,Salaried,0
56,54479.45,627,Salaried,0
23,37172.7,695,Salaried,1
25,59681.19,836,Salaried,0
44,74037.66,793,Self-Employed,0
26,65466.06,630,Salaried,0
54,102129.5,602,Salaried,0
50,55495.41,845,Self-Employed,0
68,30539.9,735,Salaried,1
59,57564.56,623,Salaried,0
61,18753.22,614,Salaried,1
41,47003.44,770,Self-Employed,0
32,79365.73,758,Salaried,0
49,59877.0,800,Self-Employed,0
49,57691.25,830,Salaried,0
41,82311.71,644,Self-Employed,0
58,50941.0,793,Self-Employed,0
69,73927.31,607,Salaried,0
66,56939.6,670,Salaried,0
66,60700.71,847,Salaried,0
69,36740.43,707,Self-Employed,1
29,47769.3,714,Salaried,0
56,34037.23,702,Salaried,1
19,53571.32,833,Salaried,0
20,60856.04,724,Salaried,0
66,38349.43,656,Salaried,1
54,85737.68,807,Salaried,0
66,59171.59,826,Salaried,0
34,55866.93,629,Self-Employed,1
66,66544.87,801,Salaried,0
19,42566.08,829,Salaried,0
19,57452.16,745,Unemployed,0
45,44247.01,713,Self-Employed,0
40,78380.2,796,Self-Employed,0
54,39120.41,716,Salaried,0
49,55947.48,820,Salaried,0
50,59939.74,766,Salaried,0
18,60922.39,659,Self-Employed,0
36,46281.47,697,Salaried,0
19,41567.36,770,Salaried,0
61,46498.07,725,Salaried,0
43,62924.88,772,Salaried,0
49,52842.31,750,Salaried,0
23,66943.13,796,Salaried,0
49,62155.06,693,Salaried,0
21,20846.31,733,Salaried,1
28,58712.47,783,Unemployed,0
34,88756.82,721,Self-Employed,0
55,74879.04,837,Self-Employed,0
41,61330.2,707,Self-Employed,0
22,39109.12,603,Salaried,1
69,62163.31,692,Salaried,0
51,66096.25,750,Salaried,0
23,51193.8,605,Salaried,0
39,59751.13,631,Salaried,0
28,77644.94,705,Salaried,0
65,42140.88,745,Salaried,0
33,39125.51,614,Salaried,1
50,65390.49,767,Salaried,0
26,61863.14,721,Salaried,0
23,70432.57,695,Self-Employed,0
33,63546.91,800,Salaried,0
46,46483.67,828,Salaried,0
20,61482.89,801,Salaried,0
37,37868.1,811,Salaried,0
53,51245.22,605,Salaried,0
36,62541.99,711,Salaried,0
43,49592.29,719,Salaried,0
20,92020.78,722,Salaried,0
36,26617.24,790,Self-Employed,1
37,46787.64,666,Self-Employed,1
49,40933.3,705,Salaried,0
24,44494.77,738,Salaried,0
69,45355.03,642,Self-Employed,1
58,35103.69,744,Salaried,1
50,66290.53,695,Salaried,0
57,46793.57,731,Salaried,0
56,57453.6,790,Self-Employed,0
35,48477.61,795,Salaried,0
57,44636.79,680,Salaried,1
18,80084.19,640,Self-Employed,0
28,68843.98,810,Salaried,0
45,26976.99,732,Salaried,1
42,25387.94,759,Unemployed,1
67,70639.13,813,Salaried,0
40,47202.2,847,Salaried,0
48,30263.76,797,Salaried,1
47,70686.03,634,Salaried,0
59,57536.86,621,Salaried,1
52,58773.57,792,Salaried,0
24,67143.09,811,Salaried,0
33,35350.34,749,Self-Employed,1
43,30527.49,711,Salaried,1
65,78714.31,846,Salaried,0
69,33442.5,610,Salaried,1
66,36666.43,804,Self-Employed,0
19,39663.47,833,Salaried,0
18,86199.19,602,Salaried,0
65,62400.75,736,Salaried,0
29,69481.12,659,Salaried,0
22,57942.51,675,Salaried,0
54,45971.69,686,Self-Employed,0
49,64469.37,613,Salaried,0
26,31650.76,824,Salaried,0
58,38570.75,617,Salaried,1
52,65994.63,712,Self-Employed,0
36,34641.17,832,Salaried,0
65,52163.78,672,Salaried,0
33,52847.31,622,Salaried,0
20,47070.07,801,Salaried,0
37,25733.22,682,Salaried,1
41,45566.07,724,Salaried,0
50,42625.47,774,Salaried,0
41,57421.6,668,Salaried,0
69,56657.36,646,Salaried,0
28,60669.42,715,Salaried,0
66,44860.21,814,Salaried,0
25,62841.67,629,Self-Employed,0
53,31659.9,624,Unemployed,1
55,27671.43,755,Unemployed,1
57,19966.41,825,Self-Employed,1
37,47510.54,836,Salaried,0
52,43700.53,847,Self-Employed,0
65,66839.73,711,Salaried,0
42,45270.06,838,Salaried,0
52,59100.65,624,Salaried,0
42,67199.45,673,Salaried,0
46,44705.21,805,Self-Employed,0
35,59470.78,833,Salaried,0
63,70028.91,848,Salaried,0
35,36427.56,837,Self-Employed,0
19,55372.79,657,Salaried,0
52,44769.48,693,Salaried,0
33,37382.65,718,Self-Employed,0
58,31953.22,726,Salaried,1
53,37140.27,768,Salaried,0
50,55900.44,624,Salaried,0
21,30837.33,677,Salaried,1
50,46739.09,698,Self-Employed,0
31,67197.92,715,Salaried,0
38,61735.16,647,Salaried,0
65,47042.39,825,Salaried,0
37,80345.36,609,Salaried,0
25,83395.55,698,Unemployed,0
24,55391.84,802,Salaried,0
20,17971.86,610,Salaried,1
34,68296.72,684,Salaried,0
50,20590.35,748,Salaried,1
65,77142.19,813,Self-Employed,0
29,71253.77,772,Salaried,0
68,81613.19,734,Salaried,0
39,58903.98,846,Salaried,0
39,49579.21,808,Self-Employed,0
63,48248.48,791,Salaried,0
47,46806.1,725,Self-Employed,0
55,69716.03,663,Salaried,0
55,65684.07,601,Self-Employed,0
62,56803.38,675,Salaried,0
68,44167.28,720,Salaried,0
25,94438.19,641,Salaried,0
44,68685.62,809,Salaried,0
44,31034.32,653,Self-Employed,1
51,47256.16,674,Self-Employed,0
38,68976.64,615,Salaried,0
47,43006.92,840,Salaried,0
50,60273.22,842,Salaried,0
45,69261.94,617,Self-Employed,0
64,4173.58,826,Salaried,1
50,53379.43,844,Salaried,0
22,53968.14,786,Salaried,0
65,48818.91,689,Salaried,0
36,59525.43,743,Salaried,0
21,64862.79,605,Salaried,0
52,57130.76,784,Salaried,0
66,49392.59,707,Unemployed,0
34,64489.32,834,Salaried,0
61,55735.8,774,Salaried,0
45,51539.49,838,Salaried,0
47,35315.81,647,Self-Employed,1
46,31560.18,641,Salaried,1
63,35031.55,675,Salaried,1
23,59174.94,787,Salaried,0
52,53813.82,676,Salaried,0
58,32795.74,731,Salaried,1
54,64688.77,830,Self-Employed,0
41,75614.64,845,Self-Employed,0
46,46022.6,729,Salaried,0
66,28885.27,817,Salaried,1
63,44363.1,658,Self-Employed,0
48,67816.91,754,Salaried,0
52,63227.95,626,Self-Employed,1
50,41163.51,678,Salaried,1
69,77817.58,671,Self-Employed,0
38,75224.2,606,Self-Employed,0
49,44004.91,790,Self-Employed,0
40,43850.65,710,Salaried,0
50,46107.58,718,Salaried,0
20,47390.01,773,Self-Employed,0
35,69258.07,662,Salaried,0
42,61379.94,831,Salaried,0
59,68156.18,723,Self-Employed,0
48,65103.48,611,Self-Employed,0
20,80717.91,740,Self-Employed,0
57,39109.22,642,Salaried,1
63,60705.38,616,Self-Employed,0
41,22392.68,662,Self-Employed,1
67,35245.67,808,Salaried,0
49,53877.2,719,Salaried,0
64,61273.1,635,Salaried,0
39,53472.76,812,Salaried,0
40,46492.11,607,Unemployed,1
19,49158.73,668,Salaried,1
44,75541.61,689,Self-Employed,0
59,49239.52,807,Unemployed,0
19,81238.62,635,Salaried,0
43,66910.26,627,Self-Employed,0
34,61863.06,717,Salaried,0
57,37096.05,692,Self-Employed,1
50,69028.57,774,Salaried,0
26,47593.44,675,Self-Employed,0
60,37083.4,700,Salaried,0
65,62692.65,757,Salaried,0
56,34180.81,750,Self-Employed,0
46,43566.38,743,Salaried,0
59,54848.26,613,Salaried,1
43,88276.32,801,Salaried,0
52,44696.26,670,Self-Employed,1
67,48126.75,836,Salaried,0
42,65985.18,779,Salaried,0
41,36425.56,723,Salaried,0
30,61642.1,724,Salaried,0
24,73088.9,636,Salaried,0
53,50393.58,628,Salaried,0
62,70392.31,794,Salaried,0
37,59371.75,742,Salaried,0
18,44039.77,827,Salaried,0
25,52032.93,774,Self-Employed,0
63,49303.64,773,Salaried,0
33,53685.43,779,Salaried,0
31,57290.77,618,Salaried,0
29,63823.0,804,Salaried,0
68,62630.02,705,Self-Employed,0
40,18524.3,620,Salaried,1
32,53540.38,663,Salaried,0
45,32358.67,764,Salaried,1
51,50864.09,626,Salaried,0
19,53143.16,654,Salaried,0
49,69642.23,843,Salaried,0
40,54548.27,628,Salaried,0
39,58888.27,747,Unemployed,0
68,66895.85,624,Salaried,0
42,73416.28,669,Salaried,0
39,53154.79,662,Self-Employed,0
39,56412.69,763,Self-Employed,0
66,55150.35,729,Salaried,0
69,46861.02,749,Self-Employed,0
59,43463.27,823,Self-Employed,0
23,20921.71,615,Salaried,1
32,38850.09,745,Salaried,0
60,28320.54,796,Salaried,0
54,73827.98,781,Unemployed,0
50,57826.24,699,Salaried,0
25,53110.92,629,Salaried,0
61,44237.72,644,Self-Employed,1
61,55446.69,618,Salaried,1
22,42280.3,814,Salaried,0
56,57610.28,633,Salaried,0
21,58686.01,740,Salaried,0
23,42079.24,770,Self-Employed,0
62,41793.07,661,Salaried,1
49,69432.99,717,Self-Employed,0
69,54207.1,820,Salaried,0
47,43284.69,699,Salaried,1
64,49442.41,621,Unemployed,1
52,39841.09,779,Salaried,0
57,53992.25,779,Salaried,0
69,67474.42,710,Salaried,0
33,54584.94,763,Self-Employed,0
30,90454.5,672,Salaried,0
67,61320.39,830,Salaried,0
59,58449.32,842,Salaried,0
47,41375.47,746,Salaried,1
36,51422.0,637,Self-Employed,0
34,43314.79,669,Salaried,1
36,22515.32,715,Salaried,1
45,69613.93,838,Salaried,0
43,47328.24,678,Salaried,0
54,43594.0,784,Self-Employed,0
43,58158.55,747,Salaried,0
40,62687.49,608,Unemployed,0
26,50188.38,631,Salaried,0
29,54960.97,731,Salaried,0
18,66192.81,649,Self-Employed,0
18,49597.1,681,Salaried,0
64,59535.01,604,Self-Employed,0
51,30111.33,747,Unemployed,1
49,36380.22,686,Salaried,1
65,64083.1,725,Salaried,0
42,35596.62,674,Self-Employed,1
57,58512.06,764,Salaried,0
62,52795.02,621,Salaried,0
18,49532.99,785,Salaried,0
33,42573.06,667,Salaried,1
56,68640.1,820,Self-Employed,0
22,80948.37,643,Salaried,0
39,59502.88,633,Salaried,0
46,59837.36,676,Salaried,0
20,44765.04,641,Salaried,1
29,37058.54,736,Salaried,0
43,54403.92,705,Self-Employed,0
33,40393.76,694,Salaried,1
68,28410.85,734,Self-Employed,1
54,67051.69,667,Self-Employed,0
39,67782.5,746,Salaried,0
46,42117.42,833,Salaried,0
31,58659.46,821,Salaried,0
45,70029.28,758,Salaried,0
22,58075.4,727,Self-Employed,0
64,37102.68,762,Self-Employed,1
66,51506.6,784,Salaried,0
47,74902.14,684,Salaried,0
63,58705.4,788,Self-Employed,0
69,63086.98,758,Unemployed,0
22,60124.44,682,Salaried,0
29,42167.33,694,Salaried,1
33,45687.32,780,Salaried,0
43,60082.98,631,Unemployed,0
43,67253.08,665,Salaried,0
65,71498.57,786,Salaried,0
38,42128.42,715,Salaried,0
56,61496.81,737,Salaried,0
53,72805.66,729,Salaried,0
50,40193.77,793,Unemployed,0
47,77301.21,659,Salaried,0
54,79584.11,815,Salaried,0
40,94376.3,616,Salaried,0
27,58464.0,695,Salaried,0
22,58546.37,743,Salaried,0
53,67404.92,615,Salaried,0
51,66967.04,645,Salaried,0
69,71895.5,766,Salaried,0
48,66760.5,844,Salaried,0
27,53409.07,758,Salaried,0
36,73329.96,706,Unemployed,0
49,38931.19,687,Self-Employed,1
18,55087.79,728,Salaried,0
22,78456.03,738,Salaried,0
62,36246.3,718,Self-Employed,1
21,44837.87,684,Salaried,0
33,65076.21,603,Self-Employed,0
41,60908.68,670,Self-Employed,0
33,41874.62,753,Salaried,0
19,48757.09,710,Salaried,0
66,37288.27,649,Unemployed,1
45,69707.27,739,Salaried,0
49,51161.78,694,Salaried,0
44,81882.34,808,Salaried,0
37,56216.5,824,Salaried,0
41,51703.9,802,Salaried,0
29,50247.67,691,Self-Employed,0
67,51337.0,823,Unemployed,0
52,56662.32,664,Salaried,0
50,92686.11,646,Salaried,0
50,49917.1,819,Salaried,0
68,50404.7,780,Salaried,0
60,55983.91,705,Salaried,0
54,71354.12,798,Unemployed,0
29,33685.23,729,Self-Employed,1
20,61826.39,705,Salaried,0
18,42738.62,623,Salaried,1
50,63299.09,603,Salaried,0
57,47593.6,707,Salaried,0
27,20438.46,618,Salaried,1
60,60543.66,753,Salaried,0
61,60417.17,802,Unemployed,0
46,46313.8,639,Salaried,1
30,45424.84,649,Salaried,1
29,35329.41,770,Self-Employed,1
48,66596.5,674,Salaried,0
63,68233.24,836,Salaried,0
19,41814.24,794,Salaried,0
68,46900.98,611,Salaried,1
67,54050.66,794,Self-Employed,0
52,89062.98,833,Salaried,0
40,63176.83,626,Self-Employed,0
34,40848.77,712,Salaried,0
43,59556.7,781,Salaried,0
25,34349.63,793,Self-Employed,0
46,65769.85,648,Salaried,0
43,80133.21,743,Salaried,0
27,80196.88,729,Salaried,0
43,66023.4,659,Salaried,0
51,46248.81,781,Salaried,0
68,35486.47,629,Salaried,1
58,33996.92,683,Salaried,1
24,12906.74,765,Salaried,1
21,65407.84,627,Unemployed,0
67,53457.47,624,Salaried,0
62,68638.24,695,Self-Employed,0
28,76420.47,724,Salaried,0
46,56498.58,609,Salaried,1
53,57189.42,787,Self-Employed,0
42,48035.19,641,Salaried,0
38,49808.73,639,Self-Employed,0
53,65927.05,824,Salaried,0
27,52384.37,676,Salaried,0
54,50214.88,847,Salaried,0
26,54725.25,704,Salaried,0
41,68294.95,717,Self-Employed,0
52,44610.08,641,Salaried,1
66,54002.07,646,Unemployed,0
52,58679.17,764,Unemployed,0
65,72403.33,845,Salaried,0
53,51410.55,807,Salaried,0
35,44232.65,836,Self-Employed,0
66,47734.59,621,Unemployed,1
56,70795.86,784,Salaried,0
49,85499.58,811,Salaried,0
41,35293.63,841,Salaried,0
40,38570.48,706,Salaried,1
49,52468.05,626,Salaried,1
54,56664.34,640,Self-Employed,0
29,66804.54,679,Salaried,0
66,41633.0,761,Salaried,0
30,39053.36,759,Salaried,0
40,57071.31,817,Salaried,0
42,51123.99,688,Salaried,0
52,68900.81,665,Salaried,0
58,62310.4,611,Salaried,0
47,63330.69,767,Salaried,0
34,53432.78,672,Salaried,0
66,90333.7,675,Unemployed,0
37,42433.78,689,Salaried,1
65,64162.15,800,Salaried,0
42,35954.65,609,Salaried,1
39,38897.98,695,Unemployed,1
30,45889.82,848,Salaried,0
36,79439.85,825,Salaried,0
66,58958.42,775,Self-Employed,0
53,46142.83,619,Salaried,1
29,60616.54,638,Salaried,0
58,55527.22,659,Salaried,0
36,47620.4,665,Salaried,0
29,34050.57,664,Salaried,1
26,76578.14,778,Self-Employed,0
24,58147.27,723,Salaried,0
45,87606.08,763,Self-Employed,0
31,69104.82,751,Salaried,0
48,63269.8,845,Self-Employed,0
69,48471.94,754,Salaried,0
36,38569.82,729,Salaried,1
64,51734.04,758,Salaried,0
33,38135.61,656,Unemployed,1
22,64752.86,677,Salaried,0
52,79489.79,793,Salaried,0
29,51086.32,628,Salaried,0
42,69167.36,614,Salaried,0
69,44661.56,611,Salaried,1
38,50463.0,700,Salaried,0
53,42775.54,755,Salaried,0
40,23003.0,683,Salaried,1
33,54452.0,724,Salaried,0
56,56926.78,702,Salaried,0
62,70987.91,623,Self-Employed,0
59,66931.57,748,Salaried,0
56,67134.29,737,Salaried,0
31,40389.46,709,Salaried,0
48,61892.46,677,Unemployed,0
22,78738.91,700,Unemployed,0
52,60698.02,745,Self-Employed,0
40,82428.9,815,Salaried,0
46,85284.49,741,Salaried,0
60,50972.98,761,Salaried,0
28,44545.9,727,Salaried,0
35,43578.07,657,Salaried,1
64,32257.96,675,Self-Employed,1
29,47223.96,749,Self-Employed,0
26,73114.98,847,Self-Employed,0
27,21939.44,797,Salaried,1
61,39438.2,635,Salaried,1
34,53093.03,772,Salaried,0
55,41842.22,763,Salaried,1
24,47090.71,621,Self-Employed,1
63,47315.05,805,Salaried,0
30,51136.9,726,Salaried,0
57,44058.18,679,Salaried,1
59,42831.8,788,Salaried,0
26,69014.65,699,Self-Employed,0
67,70744.81,783,Salaried,0
44,34291.85,816,Self-Employed,0
19,13606.04,695,Salaried,1
22,70950.62,760,Salaried,0
46,36567.99,772,Self-Employed,1
54,58191.17,763,Salaried,0
55,31514.92,747,Unemployed,1
36,74466.32,617,Salaried,0
25,93155.02,637,Salaried,0
65,57742.1,794,Salaried,0
62,53588.46,750,Self-Employed,0
18,50167.91,823,Salaried,0
39,66726.99,708,Self-Employed,0
69,63515.3,722,Salaried,0
34,70052.48,743,Salaried,0
24,45581.25,786,Salaried,0
42,60101.77,796,Salaried,0
62,46862.98,795,Salaried,0
21,39134.27,748,Self-Employed,0
53,54384.77,703,Salaried,0
23,41162.31,842,Salaried,0
48,72605.9,805,Salaried,0
36,42071.19,830,Salaried,0
61,60453.19,822,Salaried,0
56,45948.67,805,Salaried,0
44,59155.94,797,Salaried,0
27,47140.05,739,Salaried,0
43,36141.83,743,Salaried,1
36,62256.59,680,Salaried,0
56,51468.77,836,Salaried,0
20,59289.77,686,Salaried,0
62,48567.36,741,Salaried,0
30,35080.95,660,Self-Employed,1
67,71247.68,798,Self-Employed,0
45,66051.37,645,Self-Employed,0
37,46495.59,631,Salaried,1
45,56046.69,614,Self-Employed,0
25,70630.29,643,Self-Employed,0
58,48144.42,744,Self-Employed,0
56,50471.73,768,Salaried,0
18,58654.49,653,Salaried,0
20,48113.63,838,Self-Employed,0
30,67856.38,643,Salaried,0
45,52466.49,697,Salaried,0
66,43239.46,604,Salaried,1
42,64129.58,708,Salaried,0
50,37868.04,626,Salaried,1
55,85223.18,715,Salaried,0
23,78737.45,686,Salaried,0
61,62702.43,703,Salaried,0
62,61439.97,722,Salaried,0
49,60736.62,805,Salaried,0
62,47663.58,678,Salaried,0
64,59459.64,642,Salaried,0
38,41153.01,696,Self-Employed,1
33,62557.28,844,Salaried,0
38,68017.7,630,Salaried,0
28,49328.71,698,Salaried,0
54,46073.47,616,Self-Employed,1
53,36812.84,819,Salaried,0
52,76869.33,682,Salaried,0
36,47265.04,709,Salaried,0
37,52018.91,781,Salaried,0
35,59502.33,789,Self-Employed,0
64,59233.11,814,Self-Employed,0
58,66198.4,631,Salaried,0
66,49310.05,767,Salaried,0
31,37919.98,740,Salaried,1
32,35295.02,811,Salaried,0
48,46311.17,634,Salaried,1
18,40722.24,732,Salaried,0
20,50445.75,800,Salaried,0
33,74613.68,628,Salaried,0
40,49340.83,669,Self-Employed,0
28,49335.24,752,Salaried,0
29,54754.02,694,Self-Employed,0
27,48915.63,621,Self-Employed,1
49,53989.13,793,Salaried,0
33,63113.04,772,Self-Employed,0
25,68271.27,668,Salaried,0
55,70048.2,818,Salaried,0
29,85852.78,688,Salaried,0
41,63540.39,671,Unemployed,0
45,88517.18,846,Salaried,0
25,43352.77,728,Salaried,0
45,86369.27,811,Self-Employed,0
53,49294.36,771,Salaried,0
43,50769.72,686,Salaried,0
25,53201.91,695,Self-Employed,0
67,51720.69,674,Self-Employed,0
45,56287.61,766,Unemployed,0
45,46299.58,838,Unemployed,0
54,67449.43,653,Salaried,0
58,46707.47,687,Self-Employed,0
53,64834.16,802,Salaried,0
44,77915.85,756,Salaried,0
34,49643.46,653,Salaried,0
26,66915.75,817,Salaried,0
50,63387.39,615,Unemployed,0
37,88793.3,698,Self-Employed,0
30,47427.54,619,Salaried,1
45,66926.07,645,Salaried,0
65,30609.83,794,Salaried,0
46,47562.12,792,Self-Employed,0
30,60300.89,726,Self-Employed,0
63,75897.4,657,Salaried,0
52,36611.0,780,Salaried,0
23,66791.36,710,Salaried,0
35,54051.65,728,Salaried,0
68,32177.09,680,Self-Employed,1
22,57723.8,793,Salaried,0
64,80637.42,756,Salaried,0
42,38193.66,683,Salaried,0
19,53350.93,669,Salaried,0
27,40200.42,607,Unemployed,1
47,47971.26,628,Salaried,0
67,76482.55,711,Salaried,0
62,50927.13,778,Salaried,0
22,76023.49,760,Salaried,0
50,71635.81,730,Salaried,0
18,49558.93,787,Self-Employed,0
35,47461.01,762,Salaried,0
49,41560.02,796,Salaried,0
64,41036.78,818,Salaried,0
66,60298.11,707,Salaried,0
28,54703.22,803,Salaried,0
38,45645.92,811,Salaried,0
43,31768.56,708,Self-Employed,1
42,56592.68,619,Self-Employed,0
39,47956.72,672,Salaried,0
44,52070.53,766,Salaried,0
66,59569.93,603,Salaried,0
30,17472.96,842,Salaried,1
50,32000.88,845,Self-Employed,0
51,89446.65,618,Salaried,0
58,47400.84,701,Salaried,0
52,17238.5,818,Self-Employed,1
18,33250.9,772,Self-Employed,1
38,92267.01,770,Salaried,0
65,44455.04,740,Salaried,0
23,72385.23,740,Salaried,0
45,56816.77,787,Salaried,0
34,47725.49,784,Self-Employed,0
22,66631.68,685,Self-Employed,0
48,19234.65,819,Self-Employed,1
22,33383.01,651,Salaried,1
55,47614.73,710,Self-Employed,0
20,34856.43,780,Salaried,0
40,46288.33,708,Salaried,0
54,67805.7,685,Salaried,0
54,56982.05,642,Salaried,1
27,74959.26,810,Self-Employed,0
27,57930.63,799,Salaried,0
36,69886.91,843,Salaried,0
34,54038.95,799,Salaried,0
38,46145.87,641,Salaried,0
31,77208.52,689,Salaried,0
26,44359.75,839,Salaried,0
63,60157.67,714,Self-Employed,0
